author,avg_ratings,original_publish_year,title,awards,Root
Rick Riordan,"
  4.34
",2007,"
      The Titan's Curse
",Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2009),undefined
Rick Riordan,"
  4.24
",2006,"
      The Sea of Monsters
",,undefined
Marion Zimmer Bradley,"
  4.11
",1982,"
      The Mists of Avalon
",Locus Award for Best Fantasy Novel (1984),undefined
Amy Tan,"
  3.93
",1989,"
      The Joy Luck Club
",,undefined
Jane Carruth,"
  4.02
",1865,"
      Alice in Wonderland
",,undefined
Jack London,"
  3.88
",1903,"
      The Call of the Wild
",,undefined
Richard Bach,"
  3.84
",1970,"
      Jonathan Livingston Seagull
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Gustave Flaubert,"
  3.68
",1857,"
      Madame Bovary
",,undefined
Suzanne Collins,"
  4.48
",2008,"
      The Hunger Games Trilogy Boxset
",,undefined
Katherine Paterson,"
  4.01
",1977,"
      Bridge to Terabithia
",,undefined
Norton Juster,"
  4.18
",1961,"
      The Phantom Tollbooth
",,undefined
James Dashner,"
  4.03
",2009,"
      The Maze Runner
",,undefined
Dr. Seuss,"
  4.35
",1990,"
      Oh, the Places You'll Go!
",,undefined
Stieg Larsson,"
  4.24
",2006,"
      The Girl Who Played with Fire
","Anthony Award Nominee for Best Novel (2010), Dilys Award Nominee (2010), CWA International Dagger Nominee (2009), Svenska Deckarakademins pris för bästa svenska kriminalroman (2006), Goodreads Choice Award for Mystery/Thriller (2009)",undefined
Michael Ende,"
  4.16
",1979,"
      The Neverending Story
",,undefined
Charles Dickens,"
  3.87
",1838,"
      Oliver Twist
",,undefined
James Joyce,"
  3.73
",1922,"
      Ulysses
",,undefined
Robert Louis Stevenson,"
  3.83
",1879,"
      Treasure Island
",,undefined
E.L. James,"
  3.66
",2011,"
      Fifty Shades of Grey
","All About Romance (AAR) Annual Reader Poll for Best Erotic Romance (tie) (2012), Australian Book Industry Award (ABIA) for International Book (2013), Goodreads Choice Award Nominee for Romance (2011)",undefined
Jean M. Auel,"
  4.06
",1980,"
      The Clan of the Cave Bear
",National Book Award Finalist for First Novel (1981),undefined
George R.R. Martin,"
  4.53
",2000,"
      A Storm of Swords
","Hugo Award Nominee for Best Novel (2001), Nebula Award Nominee for Best Novel (2001), Locus Award for Best Fantasy Novel (2001), Geffen Award for Best Translated Fantasy Book (2002), Premio Ignotus (2006)
                      
                          Premi Ictineu for Millor novel·la traduïda (2013)",undefined
Geoffrey Chaucer,"
  3.50
",1400,"
      The Canterbury Tales
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
John Irving,"
  4.09
",1978,"
      The World According to Garp
","National Book Award for Fiction (Paperback) (1980), National Book Critics Circle Award Nominee for Fiction (1978), National Book Award Finalist for Fiction (1979)",undefined
Ernest Hemingway,"
  3.81
",1929,"
      A Farewell to Arms
",,undefined
Charles Dickens,"
  4.00
",1850,"
      David Copperfield
",,undefined
Jay Asher,"
  3.91
",2007,"
      Tote Mädchen lügen nicht
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Gregory Maguire,"
  3.54
",1995,"
      Wicked: The Life and Times of the Wicked Witch of the West
",Tähtifantasia Award Nominee (2009),undefined
Agatha Christie,"
  4.18
",1934,"
      Murder on the Orient Express
",,undefined
James Clavell,"
  4.39
",1975,"
      Shōgun
",,undefined
Jonathan Safran Foer,"
  3.97
",2005,"
      Extremely Loud & Incredibly Close
",,undefined
Philip Pullman,"
  4.25
",2000,"
      His Dark Materials
",Literaturpreis der Jury der jungen Leser for Kinderbuch (2002),undefined
Frances Hodgson Burnett,"
  4.19
",1905,"
      A Little Princess
",,undefined
Thomas Keneally,"
  4.33
",1982,"
      Schindler's List
",,undefined
John Boyne,"
  4.15
",2006,"
      The Boy in the Striped Pajamas
",,undefined
Philippa Gregory,"
  4.06
",2001,"
      The Other Boleyn Girl
",,undefined
Erin Morgenstern,"
  4.03
",2011,"
      The Night Circus
",,undefined
Michael Crichton,"
  4.04
",1990,"
      Jurassic Park
","Audie Award for Science Fiction (2016), Books I Loved Best Yearly (BILBY) Awards for Secondary (1996), South Carolina Book Award for Young Adult Book (1994), Colorado Blue Spruce Young Adult Book Award (1993), Nevada Young Readers' Award for Young Adult Category  (1993)
                      
                          Evergreen Teen Book Award Nominee (1993), Soaring Eagle Book Award (1995), Iowa Teen Award (1995)",undefined
Lauren Kate,"
  3.73
",2009,"
      Fallen
",,undefined
Richelle Mead,"
  4.38
",2010,"
      Last Sacrifice
",,undefined
Toni Morrison,"
  3.87
",1987,"
      Beloved
","Pulitzer Prize for Fiction (1988), American Book Award (1988), Anisfield-Wolf Book Award (1988), National Book Critics Circle Award Nominee for Fiction (1987), Frederic G. Melcher Book Award (1988)
                      
                          National Book Award Finalist for Fiction (1987)",undefined
J.R.R. Tolkien,"
  3.93
",1977,"
      The Silmarillion
","Locus Award for Best Fantasy Novel (1978), Ditmar Award for Best International Long Fiction (1978), Gandalf Award (1978)",undefined
Ki Longfellow,"
  4.08
",2005,"
      The Secret Magdalene
",,undefined
Kiera Cass,"
  4.13
",2012,"
      The Selection
",,undefined
Suzanne Collins,"
  4.29
",2009,"
      Catching Fire
","Locus Award Nominee for Best Young Adult Book (2010), Golden Duck Award for Young Adult (Hal Clement Award) (2010), Soaring Eagle Book Award (2011), Children's Choice Book Award for Teen Choice Book of the Year (2010), Indies Choice Book Award for Young Adult (2010)
                      
                          Teen Read Award Nominee for Best Read (2010), DABWAHA Romance Tournament for Best Young Adult (2010), Goodreads Choice Award for Favorite Book and Young Adult Series (2009) and Nominee for Best of the Best  (2018), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2010)",undefined
Rick Riordan,"
  4.32
",2010,"
      The Lost Hero
",,undefined
Margery Williams Bianco,"
  4.28
",1922,"
      The Velveteen Rabbit
",,undefined
Franz Kafka,"
  3.96
",1925,"
      The Trial
",,undefined
John Kennedy Toole,"
  3.89
",1980,"
      A Confederacy of Dunces
",,undefined
Sarah J. Maas,"
  4.20
",2012,"
      Throne of Glass
",,undefined
Ernest Hemingway,"
  3.82
",1926,"
      The Sun Also Rises
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Cassandra Clare,"
  4.43
",2011,"
      Clockwork Prince
","Teen Buckeye Book Award Nominee (2012), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)",undefined
Richelle Mead,"
  4.34
",2010,"
      Spirit Bound
",,undefined
Homer,"
  4.05
",9800,"
      The Iliad/The Odyssey
",,undefined
Arthur  Miller,"
  3.59
",1953,"
      The Crucible
",New York Drama Critics' Circle Award Nominee for Best American Play (1953),undefined
Kurt Vonnegut Jr.,"
  4.16
",1963,"
      Cat's Cradle
",,undefined
Arundhati Roy,"
  3.94
",1997,"
      The God of Small Things
",,undefined
Kenneth Grahame,"
  3.98
",1908,"
      The Wind in the Willows
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Corrie ten Boom,"
  4.42
",1971,"
      The Hiding Place: The Triumphant True Story of Corrie Ten Boom
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
C.S. Lewis,"
  4.23
",1942,"
      The Screwtape Letters
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Tracy Chevalier,"
  3.90
",1999,"
      Girl with a Pearl Earring
",,undefined
Shel Silverstein,"
  4.34
",1981,"
      A Light in the Attic
",,undefined
Viktor E. Frankl,"
  4.36
",1946,"
      Man's Search for Meaning
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Thomas  Harris,"
  4.21
",1988,"
      The Silence of the Lambs
","Bram Stoker Award for Best Novel (1988), World Fantasy Award Nominee for Best Novel (1989), Anthony Award for Best Novel (1989), Grand Prix de Littérature Policière for Romans étrangers (1991), このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1989)",undefined
Cassandra Clare,"
  4.12
",2011,"
      City of Fallen Angels
",Goodreads Choice Award for Goodreads Author and Nominee for Favorite Book and for Young Adult Fantasy & Science Fiction (2011),undefined
Maggie Stiefvater,"
  3.77
",2009,"
      Shiver
",,undefined
Scott Westerfeld,"
  3.85
",2005,"
      Uglies
",,undefined
Wally Lamb,"
  3.89
",1992,"
      She's Come Undone
",,undefined
Gail Carson Levine,"
  3.98
",1997,"
      Ella Enchanted
",,undefined
Marissa Meyer,"
  4.14
",2012,"
      Cinder
",,undefined
Gaston Leroux,"
  3.96
",1909,"
      The Phantom of the Opera
",,undefined
John Grogan,"
  4.13
",0051,"
      Marley and Me: Life and Love With the World's Worst Dog
",,undefined
Haruki Murakami,"
  4.16
",1994,"
      The Wind-Up Bird Chronicle
",,undefined
Stephen King,"
  4.45
",1996,"
      The Green Mile
","Bram Stoker Award for Best Novel (1996), Audie Award for Fiction, Unabridged (1997)",undefined
George R.R. Martin,"
  4.41
",1998,"
      A Clash of Kings
","Nebula Award Nominee for Best Novel (1999), Locus Award for Best Fantasy Novel (1999), Premio Ignotus for Novela extranjera (2004)",undefined
José Saramago,"
  4.14
",1995,"
      Blindness
",,undefined
William Faulkner,"
  3.86
",1929,"
      The Sound and the Fury
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
William Paul Young,"
  3.78
",2007,"
      The Shack
",,undefined
P.C. Cast,"
  3.80
",2007,"
      Marked
",,undefined
Ernest Hemingway,"
  3.97
",1940,"
      For Whom the Bell Tolls
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Hunter S. Thompson,"
  4.08
",1971,"
      Fear and Loathing in Las Vegas
",,undefined
Mary Ann Shaffer,"
  4.17
",2008,"
      The Guernsey Literary and Potato Peel Pie Society
",,undefined
Isabel Allende,"
  4.24
",1982,"
      The House of the Spirits
","Deutscher Hörbuchpreis for Beste Fiktion (2011), Prix du Grand Roman d'évasion (1984)",undefined
Bill Watterson,"
  4.81
",2005,"
      The Complete Calvin and Hobbes
",,undefined
Anne Frank,"
  4.16
",1947,"
      The Diary of a Young Girl
",,undefined
Stephen King,"
  4.17
",1987,"
      Misery
",,undefined
Diana Wynne Jones,"
  4.25
",1986,"
      Howl's Moving Castle
","Phoenix Award (Children's Literature Association) (2006), Boston Globe-Horn Book Award (1987)",undefined
Alex Haley,"
  4.42
",1976,"
      Roots: The Saga of an American Family
",,undefined
Robert A. Heinlein,"
  3.92
",1961,"
      Stranger in a Strange Land
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Scott O'Dell,"
  3.84
",1960,"
      Island of the Blue Dolphins
","Newbery Medal (1961), Lewis Carroll Shelf Award (1961), Nene Award (1964), Dorothy Canfield Fisher Children's Book Award Nominee (1962), Deutscher Jugendliteraturpreis for Jugendbuch (1963)
                      
                          William Allen White Children's Book Award (1963)",undefined
Donna Tartt,"
  4.09
",1992,"
      The Secret History
",,undefined
Stieg Larsson,"
  4.22
",2007,"
      The Girl Who Kicked the Hornet's Nest
",,undefined
Stephenie Meyer,"
  4.01
",2008,"
      Midnight Sun [2008 Draft]
",,undefined
Janet Fitch,"
  3.97
",1999,"
      White Oleander
",,undefined
Jamie McGuire,"
  4.09
",2011,"
      Beautiful Disaster
",,undefined
Ki Longfellow,"
  3.94
",2009,"
      Flow Down Like Silver: Hypatia of Alexandria
",,undefined
Lauren Oliver,"
  3.97
",2011,"
      Delirium
","Buxtehuder Bulle (2011), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book and for Goodreads Author (2011), Missouri Gateway Readers Award Nominee (2014)",undefined
John Green,"
  3.79
",2008,"
      Paper Towns
",,undefined
William Shakespeare,"
  3.90
",1603,"
      Othello
",,undefined
Laurie Halse Anderson,"
  4.02
",1999,"
      Speak
",,undefined
Fyodor Dostoyevsky,"
  4.18
",1869,"
      The Idiot
",,undefined
Anne Rice,"
  4.06
",1985,"
      The Vampire Lestat
","Locus Award Nominee for Best Fantasy Novel (1986), World Fantasy Award Nominee for Best Novel (1986)",undefined
William Shakespeare,"
  3.91
",1605,"
      King Lear
",,undefined
T.H. White,"
  4.04
",1958,"
      The Once and Future King
",Tähtifantasia Award Nominee (2019),undefined
Wally Lamb,"
  4.19
",1998,"
      I Know This Much Is True
",,undefined
Jon Krakauer,"
  3.99
",1996,"
      Into the Wild
",,undefined
Cornelia Funke,"
  3.88
",2003,"
      Inkheart
",,undefined
Neil Gaiman,"
  4.16
",1996,"
      Neverwhere
","Mythopoeic Fantasy Award Nominee for Adult Literature (1998), Prix Julia Verlanger (1999)",undefined
Harriet Beecher Stowe,"
  3.87
",1851,"
      Uncle Tom's Cabin
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Christopher Moore,"
  4.23
",2002,"
      Lamb: The Gospel According to Biff, Christ's Childhood Pal
",,undefined
Gillian Flynn,"
  4.08
",2012,"
      Gone Girl
",,undefined
Arthur Conan Doyle,"
  4.47
",1927,"
      The Complete Sherlock Holmes
",Audie Award for Classic (2014),undefined
Elizabeth Kostova,"
  3.78
",2005,"
      The Historian
",,undefined
Tim Butcher,"
  3.92
",2007,"
      Blood River: A Journey to Africa's Broken Heart
",,undefined
Voltaire,"
  3.77
",1759,"
      Candide
",,undefined
Roald Dahl,"
  4.01
",1961,"
      James and the Giant Peach
",,undefined
Ralph Ellison,"
  3.88
",1952,"
      Invisible Man
",,undefined
John Milton,"
  3.81
",1667,"
      Paradise Lost
",,undefined
James Herriot,"
  4.31
",1972,"
      All Creatures Great and Small
",,undefined
Walt Whitman,"
  4.12
",1855,"
      Leaves of Grass
",,undefined
Kristin Cashore,"
  4.07
",2008,"
      Graceling
",,undefined
Tim O'Brien,"
  4.13
",1990,"
      The Things They Carried
",,undefined
William Shakespeare,"
  4.50
",1623,"
      The Complete Works
",,undefined
Isaac Asimov,"
  4.17
",1951,"
      Foundation
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Diane Setterfield,"
  3.96
",2006,"
      The Thirteenth Tale
",,undefined
Haruki Murakami,"
  4.03
",1987,"
      Norwegian Wood
",,undefined
Stephen King,"
  4.34
",1982,"
      Different Seasons
",,undefined
H.G. Wells,"
  3.89
",1895,"
      The Time Machine
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
John Irving,"
  4.14
",1985,"
      The Cider House Rules
",,undefined
Haruki Murakami,"
  4.13
",2002,"
      Kafka on the Shore
","World Fantasy Award for Best Novel (2006), Los Angeles Times Book Prize Nominee for Fiction (2005), Independent Foreign Fiction Prize Nominee for Longlist (2006), PEN Translation Prize for Philip Gabriel (2006), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2005)
                      
                          Tähtifantasia Award (2010), Βραβείο Βιβλίου Public for Μεταφρασμένο μυθιστόρημα της χρονιάς (Translator: Αργυρώ Μαντόγλου) (2016)",undefined
Johanna Spyri,"
  3.99
",1880,"
      Heidi
",,undefined
Judy Blume,"
  3.90
",1970,"
      Are You There God? It's Me, Margaret
",,undefined
Cassandra Clare,"
  4.26
",2012,"
      City of Lost Souls
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012),undefined
Jostein Gaarder,"
  3.93
",1991,"
      Sophie's World
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Henry David Thoreau,"
  3.78
",1854,"
      Walden
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Patrick Rothfuss,"
  4.55
",2011,"
      The Wise Man's Fear
",,undefined
Rainbow Rowell,"
  4.04
",2013,"
      Fangirl
","Milwaukee County Teen Book Award Nominee (2015), The Inky Awards Nominee for Silver Inky (2015), Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fiction (2013), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)",undefined
سید مرتضی مصطفوی,"
  3.92
",2015,"
      زندگی مه آلود پریا
",,undefined
Kate Chopin,"
  3.66
",1899,"
      The Awakening
",,undefined
William Styron,"
  4.18
",1979,"
      Sophie's Choice
",,undefined
Kazuo Ishiguro,"
  3.82
",2005,"
      Never Let Me Go
",,undefined
Rick Riordan,"
  4.42
",2011,"
      The Son of Neptune
",,undefined
Pat Conroy,"
  4.23
",1986,"
      The Prince of Tides
",,undefined
Sarah J. Maas,"
  4.61
",2016,"
      A Court of Mist and Fury
",,undefined
Fannie Flagg,"
  4.28
",1987,"
      Fried Green Tomatoes at the Whistle Stop Cafe
",Alabama Author Award for Fiction (1989),undefined
Ernest Cline,"
  4.25
",2011,"
      Ready Player One
","Locus Award Nominee for Best First Novel (2012), John W. Campbell Memorial Award Nominee (2012), Prometheus Award for Best Novel (2012), ALA Alex Award (2012), Lincoln Award Nominee (2014)
                      
                          Tähtivaeltaja Award Nominee (2013), Mary Shelley Award for Outstanding Fictional Work (2016), Goodreads Choice Award Nominee for Science Fiction and for Favorite Book (2011), Green Mountain Book Award Nominee (2015), Seiun Award 星雲賞 Nominee for Best Translated Novel (2015)",undefined
Charlaine Harris,"
  3.96
",2001,"
      Dead Until Dark
","Locus Award Nominee for Best Fantasy Novel (2002), Anthony Award for Best Paperback Original (2002), Dilys Award Nominee (2002), Agatha Award Nominee for Best Novel (2001), Compton Crook Award Nominee (2002)",undefined
E.L. James,"
  3.84
",2011,"
      Fifty Shades Darker
",,undefined
Suzanne Collins,"
  4.05
",2010,"
      Mockingjay
","Locus Award Nominee for Best Young Adult Book (2011), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011), Andre Norton Award Nominee (2010), DABWAHA Romance Tournament for Best Young Adult Romance (2011), Goodreads Choice Award for Favorite Book and for Young Adult Fantasy (2010)",undefined
Jon Stone,"
  4.44
",1971,"
      The Monster at the End of this Book
",,undefined
George Eliot,"
  3.98
",1871,"
      Middlemarch
",,undefined
Chinua Achebe,"
  3.69
",1958,"
      Things Fall Apart
",,undefined
Helen Fielding,"
  3.78
",1996,"
      Bridget Jones's Diary
","Audie Award for Solo Narration - Female (2000), British Book of the Year (1998)",undefined
Virginia Woolf,"
  3.79
",1925,"
      Mrs. Dalloway
",,undefined
J.D. Salinger,"
  3.98
",1955,"
      Franny and Zooey
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
C.S. Lewis,"
  4.04
",1955,"
      The Magician's Nephew
",,undefined
Rick Riordan,"
  4.45
",2012,"
      The Mark of Athena
",,undefined
Bryce Courtenay,"
  4.32
",1989,"
      The Power of One
",West Australian Young Readers' Book Award (WAYRBA) for Older Readers (1996),undefined
John Grisham,"
  4.08
",1989,"
      A Time to Kill
",,undefined
Neil Gaiman,"
  4.08
",1997,"
      Stardust
",,undefined
J.R.R. Tolkien,"
  4.50
",1955,"
      The Lord of the Rings
",,undefined
Brandon Sanderson,"
  4.62
",2010,"
      The Way of Kings
","Locus Award Nominee for Best Fantasy Novel (2011), David Gemmell Legend Award for Best Fantasy Novel (2011), Whitney Award for Best Novel (2010), Goodreads Choice Award Nominee for Fantasy and for Favorite Book and for Goodreads Author (2010)",undefined
Stephen King,"
  3.94
",1982,"
      The Gunslinger
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Veronica Roth,"
  3.62
",2013,"
      Allegiant
",Goodreads Choice Award for Best Young Adult Fantasy & Science Fiction (2013),undefined
Lois Lowry,"
  4.15
",1989,"
      Number the Stars
",,undefined
Bill Bryson,"
  4.19
",2003,"
      A Short History of Nearly Everything
",,undefined
Marie Lu,"
  4.16
",2011,"
      Legend
",,undefined
Philip K. Dick,"
  4.08
",1968,"
      Do Androids Dream of Electric Sheep?
",Nebula Award Nominee for Best Novel (1968),undefined
Jojo Moyes,"
  4.26
",2012,"
      Me Before You
",Goodreads Choice Award Nominee for Fiction (2013),undefined
Rainbow Rowell,"
  4.04
",2012,"
      Eleanor & Park
",,undefined
Garth Stein,"
  4.21
",2008,"
      The Art of Racing in the Rain
",,undefined
Anna Sewell,"
  3.96
",1877,"
      Black Beauty
",,undefined
Jonathan Swift,"
  3.58
",1726,"
      Gulliver's Travels
",,undefined
Arthur Conan Doyle,"
  4.12
",1902,"
      The Hound of the Baskervilles
",,undefined
R.J. Palacio,"
  4.43
",2012,"
      Wonder
",,undefined
James Joyce,"
  3.62
",1916,"
      A Portrait of the Artist as a Young Man
",,undefined
Gayle Forman,"
  3.94
",2009,"
      If I Stay
","Georgia Peach Book Award Nominee for Honor book (2010), South Carolina Book Award Nominee for Young Adult Book Award (2011), Blue Hen Book Award for Teen Readers (2011), Pennsylvania Young Readers' Choice Award Nominee (2011), Milwaukee County Teen Book Award Nominee (2010)
                      
                          Florida Teens Read Nominee (2010), The Inky Awards Nominee for Silver Inky (2009), California Young Readers Medal Nominee for Young Adult (2012), Lincoln Award Nominee (2012), NAIBA Book of the Year for Children's Literature (2009), Goodreads Choice Award Nominee for Young Adult Fiction (2009), Carnegie Medal Nominee (2010), Missouri Gateway Readers Award Nominee (2012)",undefined
Neil Gaiman,"
  4.13
",2008,"
      The Graveyard Book
",,undefined
Ann Patchett,"
  3.93
",2001,"
      Bel Canto
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Roald Dahl,"
  4.16
",1983,"
      The Witches
",,undefined
Alan Moore,"
  4.25
",1990,"
      V for Vendetta
","Prometheus Hall of Fame Award (2006), Harvey Awards Nominee for Best Continuing or Limited Series & Best Writer (for Alan Moore) (1989)",undefined
Bret Easton Ellis,"
  3.82
",1991,"
      American Psycho
",,undefined
Robert Munsch,"
  4.35
",1986,"
      Love You Forever
",,undefined
Jane Austen,"
  4.56
",1813,"
      The Complete Novels
",,undefined
Anonymous,"
  4.35
",,"
      القرآن الكريم
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Jack London,"
  3.98
",1906,"
      White Fang
",,undefined
E.L. James,"
  3.85
",2012,"
      Fifty Shades Freed
",Goodreads Choice Award for Romance and Nominee for Goodreads Author (2012),undefined
Brandon Sanderson,"
  4.44
",2006,"
      The Final Empire
","Tähtifantasia Award Nominee (2018), Prix Elbakin.net for Meilleur roman fantasy traduit (2010)",undefined
Charles Frazier,"
  3.87
",1997,"
      Cold Mountain
",,undefined
Unknown,"
  3.46
",1900,"
      Beowulf
",,undefined
Kami Garcia,"
  3.76
",2009,"
      Beautiful Creatures
","Georgia Peach Book Award Nominee for Honor book (2011), William C. Morris YA Debut Award Nominee (2010), Audie Award for Paranormal (2011), California Young Readers Medal Nominee for Young Adult (2013), Goodreads Choice Award Nominee for Young Adult Fiction (2009)",undefined
Natalie Babbitt,"
  3.87
",1975,"
      Tuck Everlasting
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Beatrice Sparks,"
  3.76
",1971,"
      Go Ask Alice
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
J.R. Ward,"
  4.18
",2005,"
      Dark Lover
",,undefined
Hermann Hesse,"
  4.13
",1927,"
      Steppenwolf
",,undefined
Christopher Paolini,"
  3.99
",2005,"
      Eldest
","West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2006), Colorado Blue Spruce Young Adult Book Award (2007), Teen Buckeye Book Award (2007), Soaring Eagle Book Award (2006)",undefined
Robert Jordan,"
  4.17
",1990,"
      The Eye of the World
",Locus Award Nominee for Best Fantasy Book (1991),undefined
Art Spiegelman,"
  4.54
",1980,"
      The Complete Maus
","Pulitzer Prize for Special Citation (1992), American Book Award (1992)",undefined
Edgar Allan Poe,"
  4.18
",1843,"
      The Tell-Tale Heart and Other Writings
",,undefined
William Faulkner,"
  3.72
",1930,"
      As I Lay Dying
",,undefined
John Knowles,"
  3.58
",1959,"
      A Separate Peace
",,undefined
Jane Austen,"
  3.86
",1814,"
      Mansfield Park
",,undefined
Michael Chabon,"
  4.18
",2000,"
      The Amazing Adventures of Kavalier & Clay
",,undefined
Christopher Paolini,"
  4.05
",2008,"
      Brisingr
",,undefined
Jennifer L. Armentrout,"
  4.17
",2011,"
      Obsidian
",,undefined
Leigh Bardugo,"
  4.42
",2015,"
      Six of Crows
","Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017), Rhode Island Teen Book Award Nominee (2018), Evergreen Teen Book Award Nominee (2018), Milwaukee County Teen Book Award Nominee (2017), Lincoln Award (2018)
                      
                          Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2015), Missouri Gateway Readers Award Nominee (2017), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2016), Hea Noorteraamat (2017)",undefined
John Steinbeck,"
  4.38
",1952,"
      East of Eden
",,undefined
Dave Pelzer,"
  4.11
",1995,"
      A Child Called ""It""
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Jerry Spinelli,"
  3.76
",2001,"
      Stargirl
","Book Sense Book of the Year Award Nominee for Children's Literature (2001), South Carolina Book Award Nominee for Young Adult Book Award (2003), Grand Canyon Reader Award for Teen Book (2003), Charlotte Award (2004), Dorothy Canfield Fisher Children's Book Award Nominee (2002)
                      
                          Michigan Library Association Thumbs Up! Award Nominee (2001), Iowa Teen Award (2003), Lincoln Award Nominee (2006)",undefined
David Mitchell,"
  4.00
",2004,"
      Cloud Atlas
",,undefined
Lao Tzu,"
  4.27
",9600,"
      Tao Te Ching
",,undefined
Nicholas Sparks,"
  4.03
",2006,"
      Dear John
",,undefined
Stephen King,"
  4.03
",1975,"
      'Salem's Lot
",,undefined
Andy Weir,"
  4.40
",2012,"
      The Martian
","Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2015), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015), ITW Thriller Award Nominee for Best First Novel (2015), Audie Award for Science Fiction (2015), ALA Alex Award (2015)
                      
                          Premio Ignotus for Mejor novela extranjera (Best Foreign Novel) (2015), 本屋大賞 Nominee for Translated Fiction (2015), Goodreads Choice Award for Science Fiction & Nominee for Debut Goodreads Author (2014) and Nominee for Best of the Best  (2018), Green Mountain Book Award Nominee (2016), Seiun Award 星雲賞 for Best Foreign Novel (2015)",undefined
Salman Rushdie,"
  3.98
",1981,"
      Midnight's Children
",,undefined
Ray Bradbury,"
  4.15
",1949,"
      The Martian Chronicles
",,undefined
Michael Ondaatje,"
  3.88
",1992,"
      The English Patient
",,undefined
Becca Fitzpatrick,"
  4.03
",2010,"
      Crescendo
",,undefined
Nicholas Sparks,"
  4.15
",2008,"
      The Last Song
",,undefined
Robert M. Pirsig,"
  3.77
",1974,"
      Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
",National Book Award Finalist Nominee for Contemporary Affairs (1975),undefined
Tahereh Mafi,"
  3.94
",2011,"
      Shatter Me
",,undefined
John Grisham,"
  4.03
",1991,"
      The Firm
",,undefined
Victor Hugo,"
  3.99
",1831,"
      The Hunchback of Notre-Dame
",,undefined
Philip Pullman,"
  4.08
",2000,"
      The Amber Spyglass
",,undefined
Willa Cather,"
  3.80
",1918,"
      My Ántonia
",,undefined
Boris Pasternak,"
  4.01
",1957,"
      Doctor Zhivago
",,undefined
Daniel Defoe,"
  3.68
",1719,"
      Robinson Crusoe
",,undefined
Dante Alighieri,"
  4.00
",1307,"
      Inferno
",,undefined
Laura Esquivel,"
  3.95
",1989,"
      Like Water for Chocolate
",,undefined
Emma Donoghue,"
  4.06
",2010,"
      Room
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Roald Dahl,"
  4.22
",1982,"
      The BFG
",,undefined
Diana Gabaldon,"
  4.32
",1992,"
      Dragonfly in Amber
",RITA Award by Romance Writers of America Nominee for Best Romance of the Year & Futuristic/Fantasy/Paranormal Romance (1993),undefined
Truman Capote,"
  3.88
",1958,"
      Breakfast at Tiffany's and Three Stories
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Kurt Vonnegut Jr.,"
  4.07
",1973,"
      Breakfast of Champions
",,undefined
J.K. Rowling,"
  4.73
",2007,"
      Harry Potter Series Box Set
",,undefined
Cassandra Clare,"
  4.42
",2014,"
      City of Heavenly Fire
",,undefined
