Number,jstooltiptrigger_URL,Image,Title_URL,Title,Author_URL,Author,minirating,greytext,smalltext,progresstrigger,wtrtoread__spancontains_class_progresstrigger,myrating
1430,https://www.goodreads.com/book/show/42794237-down-and-rising,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546359329i/42794237._SX50_.jpg,https://www.goodreads.com/book/show/42794237-down-and-rising,Down and Rising,https://www.goodreads.com/author/show/18619175.Rohith_S_Katbamna,Rohith S. Katbamna, 4.82 avg rating — 130 ratings,(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1431,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1168052448i/30119._SX50_.jpg,https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends,Where the Sidewalk Ends,https://www.goodreads.com/author/show/435477.Shel_Silverstein,Shel Silverstein," 4.30 avg rating — 1,198,590 ratings",and,and,Want to Read,Want to Read,Rate this book
1432,https://www.goodreads.com/book/show/3558003-lord-of-misrule,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388214471i/3558003._SY75_.jpg,https://www.goodreads.com/book/show/3558003-lord-of-misrule,"Lord of Misrule (The Morganville Vampires, #5)",https://www.goodreads.com/author/show/15292.Rachel_Caine,Rachel Caine," 4.15 avg rating — 45,837 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1433,https://www.goodreads.com/book/show/16843726-nobody-loves-a-bigfoot-like-a-bigfoot-babe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355737976i/16843726._SY75_.jpg,https://www.goodreads.com/book/show/16843726-nobody-loves-a-bigfoot-like-a-bigfoot-babe,Nobody Loves a Bigfoot Like a Bigfoot Babe,https://www.goodreads.com/author/show/6590310.Simon_Okill,Simon Okill, 3.97 avg rating — 143 ratings,(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1434,https://www.goodreads.com/book/show/10032672-the-language-of-flowers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333577674i/10032672._SX50_.jpg,https://www.goodreads.com/book/show/10032672-the-language-of-flowers,The Language of Flowers,https://www.goodreads.com/author/show/4537214.Vanessa_Diffenbaugh,Vanessa Diffenbaugh," 4.08 avg rating — 197,220 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1434,https://www.goodreads.com/book/show/264158.The_Raven,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347398489i/264158._SX50_.jpg,https://www.goodreads.com/book/show/264158.The_Raven,The Raven,https://www.goodreads.com/author/show/4624490.Edgar_Allan_Poe,Edgar Allan Poe," 4.29 avg rating — 104,240 ratings",and,and,Want to Read,Want to Read,Rate this book
1436,https://www.goodreads.com/book/show/9516.Persepolis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425871473i/9516._SX50_.jpg,https://www.goodreads.com/book/show/9516.Persepolis,"Persepolis: The Story of a Childhood (Persepolis, #1)",https://www.goodreads.com/author/show/6238.Marjane_Satrapi,Marjane Satrapi," 4.25 avg rating — 162,688 ratings",and,and,Want to Read,Want to Read,Rate this book
1437,https://www.goodreads.com/book/show/544257.Midnight_Alley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388182869i/544257._SY75_.jpg,https://www.goodreads.com/book/show/544257.Midnight_Alley,"Midnight Alley (The Morganville Vampires, #3)",https://www.goodreads.com/author/show/15292.Rachel_Caine,Rachel Caine," 4.10 avg rating — 58,213 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1438,https://www.goodreads.com/book/show/18333130-switch-the-lost-kingdoms-of-karibu,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376565640i/18333130._SY75_.jpg,https://www.goodreads.com/book/show/18333130-switch-the-lost-kingdoms-of-karibu,Switch! The Lost Kingdoms of Karibu,https://www.goodreads.com/author/show/6542656.Karen_Prince,Karen  Prince, 4.14 avg rating — 476 ratings,(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1439,https://www.goodreads.com/book/show/11966216-torn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397954544i/11966216._SY75_.jpg,https://www.goodreads.com/book/show/11966216-torn,"Torn (Trylle, #2)",https://www.goodreads.com/author/show/3486415.Amanda_Hocking,Amanda Hocking," 4.04 avg rating — 65,320 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1440,https://www.goodreads.com/book/show/42986.War_and_Remembrance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422331351i/42986._SY75_.jpg,https://www.goodreads.com/book/show/42986.War_and_Remembrance,"War and Remembrance (The Henry Family, #2)",https://www.goodreads.com/author/show/9020.Herman_Wouk,Herman Wouk," 4.41 avg rating — 32,636 ratings",and,and,Want to Read,Want to Read,Rate this book
1441,https://www.goodreads.com/book/show/3575676-night-world-no-3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439077707i/3575676._SY75_.jpg,https://www.goodreads.com/book/show/3575676-night-world-no-3,"Night World, No. 3 (Night World, #7-9)",https://www.goodreads.com/author/show/50873.L_J_Smith,L.J. Smith," 4.20 avg rating — 63,730 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1442,https://www.goodreads.com/book/show/32263.The_Surgeon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1277923728i/32263._SY75_.jpg,https://www.goodreads.com/book/show/32263.The_Surgeon,"The Surgeon (Rizzoli & Isles, #1)",https://www.goodreads.com/author/show/18149.Tess_Gerritsen,Tess Gerritsen," 4.09 avg rating — 137,056 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1443,https://www.goodreads.com/book/show/12657.The_Source,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412531751i/12657._SX50_.jpg,https://www.goodreads.com/book/show/12657.The_Source,The Source,https://www.goodreads.com/author/show/7995.James_A_Michener,James A. Michener," 4.29 avg rating — 39,675 ratings",and,and,Want to Read,Want to Read,Rate this book
1444,https://www.goodreads.com/book/show/43945.Portnoy_s_Complaint,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594130599i/43945._SY75_.jpg,https://www.goodreads.com/book/show/43945.Portnoy_s_Complaint,Portnoy's Complaint,https://www.goodreads.com/author/show/463.Philip_Roth,Philip Roth," 3.70 avg rating — 60,459 ratings",and,and,Want to Read,Want to Read,Rate this book
1445,https://www.goodreads.com/book/show/7091488-dead-in-the-family,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1290479828i/7091488._SY75_.jpg,https://www.goodreads.com/book/show/7091488-dead-in-the-family,"Dead in the Family (Sookie Stackhouse, #10)",https://www.goodreads.com/author/show/17061.Charlaine_Harris,Charlaine Harris," 3.89 avg rating — 153,203 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1446,https://www.goodreads.com/book/show/25460.Animal_Vegetable_Miracle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1480104279i/25460._SY75_.jpg,https://www.goodreads.com/book/show/25460.Animal_Vegetable_Miracle,"Animal, Vegetable, Miracle: A Year of Food Life",https://www.goodreads.com/author/show/3541.Barbara_Kingsolver,Barbara Kingsolver," 4.03 avg rating — 101,599 ratings",and,and,Want to Read,Want to Read,Rate this book
1446,https://www.goodreads.com/book/show/40940649-i-am-legend,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532484265i/40940649._SX50_.jpg,https://www.goodreads.com/book/show/40940649-i-am-legend,I Am Legend,https://www.goodreads.com/author/show/8726.Richard_Matheson,Richard Matheson," 4.07 avg rating — 98,936 ratings",and,and,Want to Read,Want to Read,Rate this book
1448,https://www.goodreads.com/book/show/53022.The_Collected_Poems_of_W_B_Yeats,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436919797i/53022._SY75_.jpg,https://www.goodreads.com/book/show/53022.The_Collected_Poems_of_W_B_Yeats,The Collected Poems of W.B. Yeats,https://www.goodreads.com/author/show/29963.W_B_Yeats,W.B. Yeats," 4.23 avg rating — 35,656 ratings",and,and,Want to Read,Want to Read,Rate this book
1449,https://www.goodreads.com/book/show/318525.Red_Storm_Rising,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1173729031i/318525._SY75_.jpg,https://www.goodreads.com/book/show/318525.Red_Storm_Rising,Red Storm Rising,https://www.goodreads.com/author/show/3892.Tom_Clancy,Tom Clancy," 4.17 avg rating — 70,335 ratings",and,and,Want to Read,Want to Read,Rate this book
1450,https://www.goodreads.com/book/show/40409718-post-office,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555887577i/40409718._SX50_.jpg,https://www.goodreads.com/book/show/40409718-post-office,Post Office,https://www.goodreads.com/author/show/13275.Charles_Bukowski,Charles Bukowski," 3.97 avg rating — 105,371 ratings",and,and,Want to Read,Want to Read,Rate this book
1451,https://www.goodreads.com/book/show/36954958-crossroads-and-the-dominion-of-four,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519454879i/36954958._SX50_.jpg,https://www.goodreads.com/book/show/36954958-crossroads-and-the-dominion-of-four,Crossroads and the Dominion of Four,https://www.goodreads.com/author/show/6496644.C_Toni_Graham,C. Toni Graham," 4.29 avg rating — 7,006 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1452,https://www.goodreads.com/book/show/3438000,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503755688i/3438000._SX50_.jpg,https://www.goodreads.com/book/show/3438000,ثلاثية غرناطة,https://www.goodreads.com/author/show/1446194._,رضوى عاشور," 4.30 avg rating — 40,894 ratings",and,and,Want to Read,Want to Read,Rate this book
1453,https://www.goodreads.com/book/show/28954189-scythe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456172676i/28954189._SY75_.jpg,https://www.goodreads.com/book/show/28954189-scythe,"Scythe (Arc of a Scythe, #1)",https://www.goodreads.com/author/show/19564.Neal_Shusterman,Neal Shusterman," 4.32 avg rating — 151,357 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1454,https://www.goodreads.com/book/show/6448470-firelight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1269737893i/6448470._SY75_.jpg,https://www.goodreads.com/book/show/6448470-firelight,"Firelight (Firelight, #1)",https://www.goodreads.com/author/show/89439.Sophie_Jordan,Sophie Jordan," 3.85 avg rating — 64,438 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1455,https://www.goodreads.com/book/show/61975.Dragonflight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388182243i/61975._SY75_.jpg,https://www.goodreads.com/book/show/61975.Dragonflight,"Dragonflight (Dragonriders of Pern, #1)",https://www.goodreads.com/author/show/26.Anne_McCaffrey,Anne McCaffrey," 4.08 avg rating — 129,381 ratings",and,and,Want to Read,Want to Read,Rate this book
1456,https://www.goodreads.com/book/show/63033.The_Savage_Detectives,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342651149i/63033._SX50_.jpg,https://www.goodreads.com/book/show/63033.The_Savage_Detectives,The Savage Detectives,https://www.goodreads.com/author/show/72039.Roberto_Bola_o,Roberto Bolaño," 4.13 avg rating — 33,364 ratings",and,and,Want to Read,Want to Read,Rate this book
1457,https://www.goodreads.com/book/show/3054684-stargazer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306376986i/3054684._SX50_.jpg,https://www.goodreads.com/book/show/3054684-stargazer,"Stargazer (Evernight, #2)",https://www.goodreads.com/author/show/1192311.Claudia_Gray,Claudia Gray," 3.80 avg rating — 55,159 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1458,https://www.goodreads.com/book/show/2373.The_Bone_Collector,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437538512i/2373._SY75_.jpg,https://www.goodreads.com/book/show/2373.The_Bone_Collector,"The Bone Collector (Lincoln Rhyme, #1)",https://www.goodreads.com/author/show/1612.Jeffery_Deaver,Jeffery Deaver," 4.19 avg rating — 161,960 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1459,https://www.goodreads.com/book/show/57913.The_Illuminatus_Trilogy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386923913i/57913._SX50_.jpg,https://www.goodreads.com/book/show/57913.The_Illuminatus_Trilogy,The Illuminatus! Trilogy,https://www.goodreads.com/author/show/5752454.Robert_Shea,Robert Shea," 4.01 avg rating — 14,553 ratings",and,and,Want to Read,Want to Read,Rate this book
1460,https://www.goodreads.com/book/show/1472878.Firefly_Lane,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362435448i/1472878._SY75_.jpg,https://www.goodreads.com/book/show/1472878.Firefly_Lane,"Firefly Lane (Firefly Lane, #1)",https://www.goodreads.com/author/show/54493.Kristin_Hannah,Kristin Hannah," 4.08 avg rating — 207,680 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1461,https://www.goodreads.com/book/show/25899336-when-breath-becomes-air,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492677644i/25899336._SX50_.jpg,https://www.goodreads.com/book/show/25899336-when-breath-becomes-air,When Breath Becomes Air,https://www.goodreads.com/author/show/14031444.Paul_Kalanithi,Paul Kalanithi," 4.36 avg rating — 433,913 ratings",and,and,Want to Read,Want to Read,Rate this book
1462,https://www.goodreads.com/book/show/53354670-where-there-s-smoke,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589032912i/53354670._SY75_.jpg,https://www.goodreads.com/book/show/53354670-where-there-s-smoke,Where There's Smoke (Sugar Mountain #2),https://www.goodreads.com/author/show/7922460.Kirsten_Fullmer,Kirsten Fullmer," 4.25 avg rating — 6,550 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1463,https://www.goodreads.com/book/show/4345498-magic-strikes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507378423i/4345498._SY75_.jpg,https://www.goodreads.com/book/show/4345498-magic-strikes,"Magic Strikes (Kate Daniels, #3)",https://www.goodreads.com/author/show/21748.Ilona_Andrews,Ilona Andrews," 4.43 avg rating — 73,804 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1464,https://www.goodreads.com/book/show/1540.The_Oedipus_Cycle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442516053i/1540._SY75_.jpg,https://www.goodreads.com/book/show/1540.The_Oedipus_Cycle,"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone",https://www.goodreads.com/author/show/1002.Sophocles,Sophocles," 3.98 avg rating — 58,425 ratings",and,and,Want to Read,Want to Read,Rate this book
1465,https://www.goodreads.com/book/show/16102004-beautiful-bastard,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362258921i/16102004._SY75_.jpg,https://www.goodreads.com/book/show/16102004-beautiful-bastard,"Beautiful Bastard (Beautiful Bastard, #1)",https://www.goodreads.com/author/show/6556689.Christina_Lauren,Christina Lauren," 4.01 avg rating — 156,167 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1466,https://www.goodreads.com/book/show/193755.The_Diving_Bell_and_the_Butterfly,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336930564i/193755._SY75_.jpg,https://www.goodreads.com/book/show/193755.The_Diving_Bell_and_the_Butterfly,The Diving Bell and the Butterfly,https://www.goodreads.com/author/show/75287.Jean_Dominique_Bauby,Jean-Dominique Bauby," 3.98 avg rating — 61,908 ratings",and,and,Want to Read,Want to Read,Rate this book
1467,https://www.goodreads.com/book/show/476543.The_Darkest_Night,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556847781i/476543._SY75_.jpg,https://www.goodreads.com/book/show/476543.The_Darkest_Night,"The Darkest Night (Lords of the Underworld, #1)",https://www.goodreads.com/author/show/48192.Gena_Showalter,Gena Showalter," 4.06 avg rating — 78,056 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1468,https://www.goodreads.com/book/show/568236.A_Distant_Mirror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403200553i/568236._SX50_.jpg,https://www.goodreads.com/book/show/568236.A_Distant_Mirror,A Distant Mirror:  The Calamitous 14th Century,https://www.goodreads.com/author/show/137261.Barbara_W_Tuchman,Barbara W. Tuchman," 4.04 avg rating — 34,375 ratings",and,and,Want to Read,Want to Read,Rate this book
1468,https://www.goodreads.com/book/show/18749.Half_of_a_Yellow_Sun,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327934717i/18749._SX50_.jpg,https://www.goodreads.com/book/show/18749.Half_of_a_Yellow_Sun,Half of a Yellow Sun,https://www.goodreads.com/author/show/11291.Chimamanda_Ngozi_Adichie,Chimamanda Ngozi Adichie," 4.31 avg rating — 109,564 ratings",and,and,Want to Read,Want to Read,Rate this book
1470,https://www.goodreads.com/book/show/6931356-the-duff,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1271108843i/6931356._SY75_.jpg,https://www.goodreads.com/book/show/6931356-the-duff,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",https://www.goodreads.com/author/show/3095919.Kody_Keplinger,Kody Keplinger," 3.82 avg rating — 181,885 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1471,https://www.goodreads.com/book/show/42389.Band_of_Brothers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388247701i/42389._SY75_.jpg,https://www.goodreads.com/book/show/42389.Band_of_Brothers,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",https://www.goodreads.com/author/show/5882.Stephen_E_Ambrose,Stephen E. Ambrose," 4.41 avg rating — 100,148 ratings",and,and,Want to Read,Want to Read,Rate this book
1472,https://www.goodreads.com/book/show/27333.Silent_Spring,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442353674i/27333._SY75_.jpg,https://www.goodreads.com/book/show/27333.Silent_Spring,Silent Spring,https://www.goodreads.com/author/show/15332.Rachel_Carson,Rachel Carson," 3.98 avg rating — 36,912 ratings",and,and,Want to Read,Want to Read,Rate this book
1473,https://www.goodreads.com/book/show/20803953-bully,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392309572i/20803953._SY75_.jpg,https://www.goodreads.com/book/show/20803953-bully,"Bully (Fall Away, #1)",https://www.goodreads.com/author/show/7139136.Penelope_Douglas,Penelope Douglas," 4.08 avg rating — 103,007 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1474,https://www.goodreads.com/book/show/1097.Fast_Food_Nation,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554229727i/1097._SY75_.jpg,https://www.goodreads.com/book/show/1097.Fast_Food_Nation,Fast Food Nation: The Dark Side of the All-American Meal,https://www.goodreads.com/author/show/380.Eric_Schlosser,Eric Schlosser," 3.74 avg rating — 200,165 ratings",and,and,Want to Read,Want to Read,Rate this book
1475,https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493724347i/31434883._SY75_.jpg,https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine,Eleanor Oliphant Is Completely Fine,https://www.goodreads.com/author/show/14558709.Gail_Honeyman,Gail Honeyman," 4.28 avg rating — 757,587 ratings",and,and,Want to Read,Want to Read,Rate this book
1476,https://www.goodreads.com/book/show/104089.Tigana,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348738842i/104089._SX50_.jpg,https://www.goodreads.com/book/show/104089.Tigana,Tigana,https://www.goodreads.com/author/show/60177.Guy_Gavriel_Kay,Guy Gavriel Kay," 4.06 avg rating — 45,277 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1477,https://www.goodreads.com/book/show/38462.Giovanni_s_Room,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501485157i/38462._SY75_.jpg,https://www.goodreads.com/book/show/38462.Giovanni_s_Room,Giovanni's Room,https://www.goodreads.com/author/show/10427.James_Baldwin,James Baldwin," 4.23 avg rating — 67,536 ratings",and,and,Want to Read,Want to Read,Rate this book
1478,https://www.goodreads.com/book/show/2295829.Feast_of_Fools,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388182868i/2295829._SY75_.jpg,https://www.goodreads.com/book/show/2295829.Feast_of_Fools,"Feast of Fools (The Morganville Vampires, #4)",https://www.goodreads.com/author/show/15292.Rachel_Caine,Rachel Caine," 4.15 avg rating — 51,493 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1479,https://www.goodreads.com/book/show/8428064-demonglass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1287692542i/8428064._SY75_.jpg,https://www.goodreads.com/book/show/8428064-demonglass,"Demonglass (Hex Hall, #2)",https://www.goodreads.com/author/show/2261547.Rachel_Hawkins,Rachel Hawkins," 4.09 avg rating — 90,309 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1480,https://www.goodreads.com/book/show/33609.Katherine,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436406825i/33609._SY75_.jpg,https://www.goodreads.com/book/show/33609.Katherine,Katherine,https://www.goodreads.com/author/show/18930.Anya_Seton,Anya Seton," 4.18 avg rating — 29,947 ratings",and,and,Want to Read,Want to Read,Rate this book
1481,https://www.goodreads.com/book/show/8659601-the-power-of-six,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345067406i/8659601._SY75_.jpg,https://www.goodreads.com/book/show/8659601-the-power-of-six,"The Power of Six (Lorien Legacies, #2)",https://www.goodreads.com/author/show/3380908.Pittacus_Lore,Pittacus Lore," 4.15 avg rating — 125,297 ratings",and,and,Want to Read,Want to Read,Rate this book
1482,https://www.goodreads.com/book/show/52641918-trouble-on-main-street,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584977259i/52641918._SY75_.jpg,https://www.goodreads.com/book/show/52641918-trouble-on-main-street,Trouble on Main Street (Sugar Mountain #1),https://www.goodreads.com/author/show/7922460.Kirsten_Fullmer,Kirsten Fullmer," 4.31 avg rating — 4,616 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1483,https://www.goodreads.com/book/show/77262.Animal_Dreams,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481663395i/77262._SY75_.jpg,https://www.goodreads.com/book/show/77262.Animal_Dreams,Animal Dreams,https://www.goodreads.com/author/show/3541.Barbara_Kingsolver,Barbara Kingsolver," 4.04 avg rating — 65,539 ratings",and,and,Want to Read,Want to Read,Rate this book
1484,https://www.goodreads.com/book/show/16140036-this-man,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352790466i/16140036._SY75_.jpg,https://www.goodreads.com/book/show/16140036-this-man,"This Man (This Man, #1)",https://www.goodreads.com/author/show/6576110.Jodi_Ellen_Malpas,Jodi Ellen Malpas," 4.10 avg rating — 100,689 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1485,https://www.goodreads.com/book/show/11084145-steve-jobs,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511288482i/11084145._SY75_.jpg,https://www.goodreads.com/book/show/11084145-steve-jobs,Steve Jobs,https://www.goodreads.com/author/show/7111.Walter_Isaacson,Walter Isaacson," 4.14 avg rating — 985,982 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1486,https://www.goodreads.com/book/show/55525261-in-our-bones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601536135i/55525261._SY75_.jpg,https://www.goodreads.com/book/show/55525261-in-our-bones,In Our Bones,https://www.goodreads.com/author/show/20768409.Pernell_Plath_Meier,Pernell Plath Meier," 4.29 avg rating — 6,205 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1487,https://www.goodreads.com/book/show/3992598-the-demigod-files,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533071526i/3992598._SX50_.jpg,https://www.goodreads.com/book/show/3992598-the-demigod-files,The Demigod Files,https://www.goodreads.com/author/show/15872.Rick_Riordan,Rick Riordan," 4.05 avg rating — 80,679 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1488,https://www.goodreads.com/book/show/51779181-the-threat-below,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582687895i/51779181._SY75_.jpg,https://www.goodreads.com/book/show/51779181-the-threat-below,"The Threat Below (Brathius History, #1)",https://www.goodreads.com/author/show/14192434.Jason_Latshaw,Jason Latshaw," 4.31 avg rating — 6,554 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1489,https://www.goodreads.com/book/show/325085.Nicholas_Nickleby,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352758388i/325085._SY75_.jpg,https://www.goodreads.com/book/show/325085.Nicholas_Nickleby,Nicholas Nickleby,https://www.goodreads.com/author/show/239579.Charles_Dickens,Charles Dickens," 3.92 avg rating — 40,460 ratings",and,and,Want to Read,Want to Read,Rate this book
1490,https://www.goodreads.com/book/show/60931.Kindred,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339423248i/60931._SY75_.jpg,https://www.goodreads.com/book/show/60931.Kindred,Kindred,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,Octavia E. Butler," 4.26 avg rating — 106,251 ratings",and,and,Want to Read,Want to Read,Rate this book
1491,https://www.goodreads.com/book/show/2115.Atlas_Shrugged_The_Fountainhead,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1159932401i/2115._SX50_.jpg,https://www.goodreads.com/book/show/2115.Atlas_Shrugged_The_Fountainhead,Atlas Shrugged & The Fountainhead,https://www.goodreads.com/author/show/432.Ayn_Rand,Ayn Rand," 4.10 avg rating — 4,563 ratings",and,and,Want to Read,Want to Read,Rate this book
1492,https://www.goodreads.com/book/show/9593913-requiem,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340992438i/9593913._SY75_.jpg,https://www.goodreads.com/book/show/9593913-requiem,"Requiem (Delirium, #3)",https://www.goodreads.com/author/show/2936493.Lauren_Oliver,Lauren Oliver," 3.74 avg rating — 131,098 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1493,https://www.goodreads.com/book/show/47624.Lirael,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266458951i/47624._SY75_.jpg,https://www.goodreads.com/book/show/47624.Lirael,"Lirael (Abhorsen, #2)",https://www.goodreads.com/author/show/8347.Garth_Nix,Garth Nix," 4.26 avg rating — 111,155 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1494,https://www.goodreads.com/book/show/5212771-carpe-corpus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388214475i/5212771._SY75_.jpg,https://www.goodreads.com/book/show/5212771-carpe-corpus,"Carpe Corpus (The Morganville Vampires, #6)",https://www.goodreads.com/author/show/15292.Rachel_Caine,Rachel Caine," 4.20 avg rating — 47,331 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
1494,https://www.goodreads.com/book/show/36232319-the-invisible-game,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505297550i/36232319._SY75_.jpg,https://www.goodreads.com/book/show/36232319-the-invisible-game,The Invisible Game: Mindset of a Winning Team,https://www.goodreads.com/author/show/14726163.Zoltan_Andrejkovics,Zoltan Andrejkovics, 4.45 avg rating — 190 ratings,(Goodreads Author),and,Want to Read,Want to Read,Rate this book
