num_pages,num_reviews,genre1,is_series,Location,title,Author,awards,Root
,"
    
    3,274
    reviews
",,Characters,,"
      The Shell Seekers
",Rosamunde Pilcher,,undefined
527 pages,"
    
    4,035
    reviews
",,Series,"
    Caldwell, New York

(United States)


    
","
      Lover Avenged
",J.R. Ward,"
                  All About Romance (AAR) Annual Reader Poll for Guiltiest Pleasure Romance & Honorable Mention for Best Paranormal Romance (2010), P.E.A.R.L. (Paranormal Excellence Award for Romantic Literature) for Best Overall Paranormal Romance AND Best Vampire Romance (2009)
                ",undefined
,"
    
    8,634
    reviews
",,Series,"
    Mount Eskel

    
","
      Princess Academy
",Shannon Hale,"
                  Newbery Medal Nominee (2006), Utah Book Award for Children/Young Adults (2005), Dorothy Canfield Fisher Children's Book Award Nominee (2007), Rebecca Caudill Young Readers' Book Award Nominee (2008)
                ",undefined
,"
    
    2,822
    reviews
","
    
      
        Classics
      
        
          4,543 users
        
      
    
    
      
        Poetry
      
        
          2,243 users
        
      
    
    
      
        Fiction
      
        
          1,113 users
        
      
    
    
      
          Fantasy >
        Mythology
      
        
          814 users
        
      
    
    
      
        Literature
      
        
          505 users
        
      
    
    
      
          Academic >
        School
      
        
          259 users
        
      
    
    
      
        Epic
      
        
          221 users
        
      
    
    
      
        Fantasy
      
        
          201 users
        
      
    
    
      
          Literature >
        Ancient
      
        
          179 users
        
      
    
    
      
          Classics >
        Classic Literature
      
        
          160 users
        
      
    
  See top shelves…
",Characters,,"
      The Aeneid
",Virgil,,undefined
,"
    
    39,482
    reviews
",,Characters,"
                Literary Awards
                
                  Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2016), Lincoln Award Nominee (2018), Goodreads Choice Award Nominee for Young Adult Fiction (2014)
                
              ","
      To All the Boys I've Loved Before
",Jenny Han,,undefined
,"
    
    4,845
    reviews
","
    
      
        Science Fiction
      
        
          3,231 users
        
      
    
    
      
        Fiction
      
        
          1,737 users
        
      
    
    
      
          Apocalyptic >
        Post Apocalyptic
      
        
          635 users
        
      
    
    
      
        Classics
      
        
          459 users
        
      
    
    
      
          Science Fiction >
        Dystopia
      
        
          420 users
        
      
    
    
      
        Fantasy
      
        
          351 users
        
      
    
    
      
        Science Fiction Fantasy
      
        
          259 users
        
      
    
    
      
        Religion
      
        
          236 users
        
      
    
    
      
          Science Fiction >
        Apocalyptic
      
        
          174 users
        
      
    
    
      
        Speculative Fiction
      
        
          168 users
        
      
    
  See top shelves…
",Series,,"
      A Canticle for Leibowitz
",Walter M. Miller Jr.,,undefined
,"
    
    60,243
    reviews
",,URL,Setting,"
      The Hate U Give
",Angie Thomas,,undefined
,"
    
    7,002
    reviews
",,Series,"
    Bon Temps, Louisiana

(United States)


    
    Dallas, Texas

(United States)


    
","
      Living Dead in Dallas
",Charlaine Harris,"
                  Lord Ruthven Award for Fiction (2003)
                ",undefined
,"
    
    9,300
    reviews
",,Characters,"

Other Editions (19)

","
      Anthem
",Ayn Rand,"
All Editions

 | 

Add a New Edition


 | 

Combine
",undefined
450 pages,"
    
    12,946
    reviews
",,URL,"

Other Editions (69)

","
      The Omnivore's Dilemma: A Natural History of Four Meals
",Michael Pollan,"
All Editions

 | 

Add a New Edition


 | 

Combine
",undefined
1074 pages,"
    
    15,005
    reviews
","
    
      
        Horror
      
        
          3,338 users
        
      
    
    
      
        Fiction
      
        
          2,339 users
        
      
    
    
      
        Science Fiction
      
        
          1,463 users
        
      
    
    
      
        Thriller
      
        
          859 users
        
      
    
    
      
        Fantasy
      
        
          484 users
        
      
    
    
      
        Mystery
      
        
          448 users
        
      
    
    
      
        Suspense
      
        
          320 users
        
      
    
    
      
        Audiobook
      
        
          239 users
        
      
    
    
      
        Adult
      
        
          213 users
        
      
    
    
      
        Drama
      
        
          200 users
        
      
    
  See top shelves…
",Characters,"
                Literary Awards
                
                  Locus Award Nominee for Best Science Fiction Novel (2010), British Fantasy Award Nominee for Best Novel (2010), Goodreads Choice Award Nominee for Mystery/Thriller (2009)
                
              ","
      Under the Dome
",Stephen King,,undefined
,"
    
    15,994
    reviews
",,URL,"
                Literary Awards
                
                  Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013)
                
              ","
      Unravel Me
",Tahereh Mafi,,undefined
,"
    
    15,994
    reviews
",,URL,"
                Literary Awards
                
                  Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013)
                
              ","
      Unravel Me
",Tahereh Mafi,,
,"
    
    10,091
    reviews
",,URL,Setting,"
      Rubinrot
",Kerstin Gier,,undefined
,"
    
    6,214
    reviews
",,,"

Other Editions (63)

","
      The Witch of Blackbird Pond
",Elizabeth George Speare,"
All Editions

 | 

Add a New Edition


 | 

Combine
",undefined
